time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-01 00:00:00+00:00,0,0,4,1
2025-01-06 00:00:00+00:00,1,1,3,1
2025-01-07 00:00:00+00:00,0,0,7,1
2025-01-08 00:00:00+00:00,0,0,7,3
2025-01-09 00:00:00+00:00,1,1,23,3
2025-01-10 00:00:00+00:00,0,0,17,3
2025-01-11 00:00:00+00:00,0,0,4,1
2025-01-12 00:00:00+00:00,0,0,3,1
2025-01-13 00:00:00+00:00,0,0,18,2
2025-01-14 00:00:00+00:00,36,3,91,2
2025-01-15 00:00:00+00:00,32,3,111,2
2025-01-16 00:00:00+00:00,33,4,80,1
2025-01-17 00:00:00+00:00,22,3,38,2
2025-01-18 00:00:00+00:00,1,1,12,2
2025-01-19 00:00:00+00:00,0,0,6,1
2025-01-20 00:00:00+00:00,0,0,8,1
2025-01-21 00:00:00+00:00,2,1,5,1
2025-01-22 00:00:00+00:00,0,0,16,2
2025-01-23 00:00:00+00:00,1,1,6,2
2025-01-24 00:00:00+00:00,22,4,43,2
2025-01-25 00:00:00+00:00,16,5,26,2
2025-01-26 00:00:00+00:00,1,1,10,3
2025-01-27 00:00:00+00:00,2,1,4,1
2025-01-29 00:00:00+00:00,0,0,1,1
2025-01-30 00:00:00+00:00,5,2,5,1
2025-01-31 00:00:00+00:00,5,2,7,2
2025-02-01 00:00:00+00:00,5,2,4,2
2025-02-02 00:00:00+00:00,5,2,0,0
2025-02-03 00:00:00+00:00,5,3,0,0
2025-02-04 00:00:00+00:00,3,2,0,0
2025-02-05 00:00:00+00:00,5,2,0,0
2025-02-06 00:00:00+00:00,3,2,0,0
2025-02-07 00:00:00+00:00,7,4,5,1
2025-02-08 00:00:00+00:00,1,1,0,0
2025-02-09 00:00:00+00:00,8,3,0,0
2025-02-10 00:00:00+00:00,4,2,0,0
2025-02-11 00:00:00+00:00,1,1,0,0
2025-02-12 00:00:00+00:00,3,2,0,0
2025-02-13 00:00:00+00:00,1,1,0,0
2025-02-14 00:00:00+00:00,5,2,0,0
2025-02-15 00:00:00+00:00,5,2,0,0
2025-02-16 00:00:00+00:00,4,2,0,0
2025-02-17 00:00:00+00:00,0,0,1,1
